timestamp,value,gesture
1780322273.970472,527,relax
1780322273.990895,493,relax
1780322274.011258,496,relax
1780322274.027195,477,relax
1780322274.047195,499,relax
1780322274.068194,539,relax
1780322274.088199,520,relax
1780322274.108999,513,relax
1780322274.129194,522,relax
1780322274.150497,532,relax
1780322274.170920,518,relax
1780322274.191503,508,relax
1780322274.211926,516,relax
1780322274.232490,526,relax
1780322274.252929,517,relax
1780322274.273518,525,relax
1780322274.289199,528,relax
1780322274.310195,563,relax
1780322274.330522,528,relax
1780322274.351525,536,relax
1780322274.371527,536,relax
1780322274.391950,524,relax
1780322274.412533,541,relax
1780322274.432199,521,relax
1780322274.452965,529,relax
1780322274.473961,526,relax
1780322274.494201,530,relax
1780322274.510967,544,relax
1780322274.531549,548,relax
1780322274.551973,522,relax
1780322274.572555,545,relax
1780322274.592201,522,relax
1780322274.613561,509,relax
1780322274.633984,516,relax
1780322274.654566,532,relax
1780322274.670568,533,relax
1780322274.690992,541,relax
1780322274.711574,511,relax
1780322274.731997,529,relax
1780322274.752580,540,relax
1780322274.772990,540,relax
1780322274.793586,545,relax
1780322274.814001,536,relax
1780322274.834591,561,relax
1780322274.851205,550,relax
1780322274.871596,530,relax
1780322274.892019,537,relax
1780322274.912195,523,relax
1780322274.932202,541,relax
1780322274.952992,532,relax
1780322274.973620,516,relax
1780322274.994613,539,relax
1780322275.010249,548,relax
1780322275.031038,535,relax
1780322275.051558,535,relax
1780322275.072044,536,relax
1780322275.092551,538,relax
1780322275.113050,535,relax
1780322275.133481,538,relax
1780322275.153993,547,relax
1780322275.174638,556,relax
1780322275.195058,522,relax
1780322275.215641,568,relax
1780322275.232066,542,relax
1780322275.252649,545,relax
1780322275.272557,549,relax
1780322275.293654,544,relax
1780322275.313657,546,relax
1780322275.334660,550,relax
1780322275.354232,523,relax
1780322275.375085,528,relax
1780322275.395668,521,relax
1780322275.412091,529,relax
1780322275.432192,504,relax
1780322275.452992,507,relax
1780322275.473679,533,relax
1780322275.494102,533,relax
1780322275.514685,548,relax
1780322275.535008,544,relax
1780322275.555690,529,relax
1780322275.571692,536,relax
1780322275.592695,526,relax
1780322275.612698,555,relax
1780322275.633193,545,relax
1780322275.652991,516,relax
1780322275.674127,512,relax
1780322275.694710,515,relax
1780322275.715132,548,relax
1780322275.735715,522,relax
1780322275.752138,510,relax
1780322275.772720,536,relax
1780322275.793143,534,relax
1780322275.813392,529,relax
1780322275.834149,524,relax
1780322275.854194,518,relax
1780322275.874995,520,relax
1780322275.895558,524,relax
1780322275.911274,522,relax
1780322275.932251,509,relax
1780322275.952761,536,relax
1780322275.972765,520,relax
1780322275.993750,543,relax
1780322276.014174,533,relax
1780322276.034756,530,relax
1780322276.055194,529,relax
1780322276.075171,537,relax
1780322276.096182,524,relax
1780322276.116765,525,relax
1780322276.133051,527,relax
1780322276.152991,528,relax
1780322276.174196,542,relax
1780322276.194756,529,relax
1780322276.214781,517,relax
1780322276.235784,537,relax
1780322276.255576,543,relax
1780322276.275993,562,relax
1780322276.292579,547,relax
1780322276.313215,545,relax
1780322276.333576,528,relax
1780322276.354192,538,relax
1780322276.374606,525,relax
1780322276.394869,554,relax
1780322276.415808,506,relax
1780322276.436232,557,relax
1780322276.456615,523,relax
1780322276.473062,530,relax
1780322276.493646,542,relax
1780322276.513074,530,relax
1780322276.534560,527,relax
1780322276.554572,545,relax
1780322276.575251,550,relax
1780322276.595685,543,relax
1780322276.616143,530,relax
1780322276.632509,526,relax
1780322276.653032,536,relax
1780322276.673844,544,relax
1780322276.694008,532,relax
1780322276.714746,529,relax
1780322276.735273,531,relax
1780322276.755560,533,relax
1780322276.776278,538,relax
1780322276.796861,559,relax
1780322276.812189,531,relax
1780322276.833866,526,relax
1780322276.852992,531,relax
1780322276.874292,524,relax
1780322276.894871,543,relax
1780322276.915260,535,relax
1780322276.935263,526,relax
1780322276.955950,540,relax
1780322276.972735,555,relax
1780322276.992740,535,relax
1780322277.017746,543,relax
1780322277.034315,548,relax
1780322277.054897,545,relax
1780322277.074914,534,relax
1780322277.095902,518,relax
1780322277.116325,537,relax
1780322277.136229,526,relax
1780322277.156909,516,relax
1780322277.177186,499,relax
1780322277.193916,515,relax
1780322277.214394,526,relax
1780322277.234871,542,relax
1780322277.255262,516,relax
1780322277.275976,508,relax
1780322277.296350,515,relax
1780322277.316932,512,relax
1780322277.336874,519,relax
1780322277.357180,502,relax
1780322277.374361,545,relax
1780322277.394943,501,relax
1780322277.415366,527,relax
1780322277.435949,539,relax
1780322277.455952,551,relax
1780322277.476955,513,relax
1780322277.496957,507,relax
1780322277.517184,508,relax
1780322277.533962,538,relax
1780322277.554386,520,relax
1780322277.574968,524,relax
1780322277.595410,484,relax
1780322277.615974,519,relax
1780322277.636397,510,relax
1780322277.656374,523,relax
1780322277.677464,494,relax
1780322277.697356,496,relax
1780322277.714408,520,relax
1780322277.734867,511,relax
1780322277.754993,504,relax
1780322277.775996,496,relax
1780322277.795536,494,relax
1780322277.816422,503,relax
1780322277.837005,503,relax
1780322277.857377,497,relax
1780322277.874009,518,relax
1780322277.894433,483,relax
1780322277.915015,549,relax
1780322277.935438,506,relax
1780322277.956021,513,relax
1780322277.976444,553,relax
1780322277.996226,517,relax
1780322278.017475,515,relax
1780322278.037187,518,relax
1780322278.057996,535,relax
1780322278.078181,512,relax
1780322278.095040,502,relax
1780322278.115463,490,relax
1780322278.135408,507,relax
1780322278.156468,497,relax
1780322278.177051,536,relax
1780322278.197191,494,relax
1780322278.217218,517,relax
1780322278.238183,506,relax
1780322278.255062,531,relax
1780322278.275485,511,relax
1780322278.296067,519,relax
1780322278.316490,513,relax
1780322278.336573,511,relax
1780322278.357566,528,relax
1780322278.377359,502,relax
1780322278.397186,523,relax
1780322278.418373,500,relax
1780322278.434860,483,relax
1780322278.455546,504,relax
1780322278.476092,508,relax
1780322278.496516,502,relax
1780322278.517184,515,relax
1780322278.537182,502,relax
